Date,INR
1/2/1979,1792.90
1/3/1979,1802.20
1/4/1979,1811.70
1/5/1979,1843.60
1/8/1979,1841.30
1/9/1979,1822.50
1/10/1979,1803.50
1/11/1979,1814.60
1/12/1979,1782.60
1/15/1979,1782.00
1/16/1979,1796.50
1/17/1979,1842.10
1/18/1979,1861.70
1/19/1979,1940.80
1/22/1979,1886.90
1/23/1979,1895.40
1/24/1979,1926.10
1/25/1979,1937.80
1/26/1979,1929.30
1/29/1979,1887.00
1/30/1979,1921.60
1/31/1979,1840.80
2/1/1979,1927.10
2/2/1979,1907.40
2/5/1979,1971.90
2/6/1979,1996.80
2/7/1979,2031.00
2/8/1979,2081.00
2/9/1979,2000.90
2/12/1979,2046.40
2/13/1979,2000.60
2/14/1979,1946.70
2/15/1979,2008.30
2/16/1979,2016.70
2/19/1979,2047.40
2/20/1979,2032.40
2/21/1979,2039.20
2/22/1979,2052.70
2/23/1979,2042.00
2/26/1979,2034.50
2/27/1979,2012.70
2/28/1979,2011.70
3/1/1979,2023.90
3/2/1979,2020.50
3/5/1979,1972.10
3/6/1979,1941.20
3/7/1979,1954.00
3/8/1979,1919.80
3/9/1979,1938.10
3/12/1979,1939.70
3/13/1979,1963.40
3/14/1979,1969.90
3/15/1979,1970.10
3/16/1979,1972.90
3/19/1979,2016.90
3/20/1979,1991.60
3/21/1979,1977.70
3/22/1979,1998.00
3/23/1979,1987.50
3/26/1979,1989.90
3/27/1979,2006.20
3/28/1979,1988.90
3/29/1979,1966.00
3/30/1979,1940.20
4/2/1979,1948.10
4/3/1979,1942.60
4/4/1979,1940.80
4/5/1979,1939.50
4/6/1979,1922.70
4/9/1979,1957.60
4/10/1979,1946.30
4/11/1979,1956.20
4/12/1979,1917.60
4/13/1979,1917.60
4/16/1979,1917.60
4/17/1979,1897.50
4/18/1979,1931.50
4/19/1979,1980.30
4/20/1979,1965.60
4/23/1979,1953.90
4/24/1979,1982.10
4/25/1979,2020.70
4/26/1979,2025.10
4/27/1979,2016.60
4/30/1979,2013.10
5/1/1979,2044.70
5/2/1979,2036.10
5/3/1979,2019.60
